yourlist:M202205184ABAA9BC7178C81CEBC9459510EDDEA34D94DBZ,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
1433B_MOUSE,Q9CQV8,1433B_MOUSE,reviewed,"14-3-3 protein beta/alpha (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]",Ywhab,Mus musculus (Mouse),246
1433E_MOUSE,P62259,1433E_MOUSE,reviewed,14-3-3 protein epsilon (14-3-3E),Ywhae,Mus musculus (Mouse),255
1433F_MOUSE,P68510,1433F_MOUSE,reviewed,14-3-3 protein eta,Ywhah,Mus musculus (Mouse),246
1433G_MOUSE,P61982,1433G_MOUSE,reviewed,"14-3-3 protein gamma [Cleaved into: 14-3-3 protein gamma, N-terminally processed]",Ywhag,Mus musculus (Mouse),247
1433T_MOUSE,P68254,1433T_MOUSE,reviewed,14-3-3 protein theta (14-3-3 protein tau),Ywhaq,Mus musculus (Mouse),245
1433Z_MOUSE,P63101,1433Z_MOUSE,reviewed,14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1) (SEZ-2),Ywhaz,Mus musculus (Mouse),245
2A5E_MOUSE,Q61151,2A5E_MOUSE,reviewed,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon),Ppp2r5e Kiaa4006,Mus musculus (Mouse),467
2AAA_MOUSE,Q76MZ3,2AAA_MOUSE,reviewed,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha),Ppp2r1a,Mus musculus (Mouse),589
2AAB_MOUSE,Q7TNP2,2AAB_MOUSE,reviewed,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (PP2A subunit A isoform PR65-beta) (PP2A subunit A isoform R1-beta),Ppp2r1b,Mus musculus (Mouse),601
2ABA_MOUSE,Q6P1F6,2ABA_MOUSE,reviewed,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha),Ppp2r2a,Mus musculus (Mouse),447
3BHS1_MOUSE,P24815,3BHS1_MOUSE,reviewed,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I) (3-beta-HSD I) (3-beta-hydroxy-5-ene steroid dehydrogenase) (3-beta-hydroxy-Delta(5)-steroid dehydrogenase) (EC 1.1.1.145) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Delta-5-3-ketosteroid isomerase) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Steroid Delta-isomerase) (EC 5.3.3.1),Hsd3b1 Hsd3b,Mus musculus (Mouse),373
3BHS3_MOUSE,P26150,3BHS3_MOUSE,reviewed,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 3 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type III) (3-beta-HSD III) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)],Hsd3b3,Mus musculus (Mouse),373
3BHS4_MOUSE,Q61767,3BHS4_MOUSE,reviewed,NADPH-dependent 3-keto-steroid reductase Hsd3b4 (3 beta-hydroxysteroid dehydrogenase type 4) (3 beta-hydroxysteroid dehydrogenase type IV) (3 beta-HSD IV) (EC 1.1.1.270) (Dihydrotestosterone 3-ketoreductase) (EC 1.1.1.210),Hsd3b4,Mus musculus (Mouse),373
3BHS5_MOUSE,Q61694,3BHS5_MOUSE,reviewed,NADPH-dependent 3-keto-steroid reductase Hsd3b5 (3 beta-hydroxysteroid dehydrogenase type 5) (3 beta-hydroxysteroid dehydrogenase type V) (3 beta-HSD V) (EC 1.1.1.270) (Dihydrotestosterone 3-ketoreductase) (EC 1.1.1.210),Hsd3b5,Mus musculus (Mouse),373
3BHS7_MOUSE,Q9EQC1,3BHS7_MOUSE,reviewed,"3 beta-hydroxysteroid dehydrogenase type 7 (3 beta-hydroxysteroid dehydrogenase type VII) (3-beta-HSD VII) (3-beta-hydroxy-Delta(5)-C27 steroid oxidoreductase) (C(27) 3-beta-HSD) (EC 1.1.1.-) (Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase) (EC 1.1.1.181)",Hsd3b7,Mus musculus (Mouse),369
3HAO_MOUSE,Q78JT3,3HAO_MOUSE,reviewed,"3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)",Haao,Mus musculus (Mouse),286
3HIDH_MOUSE,Q99L13,3HIDH_MOUSE,reviewed,"3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)",Hibadh,Mus musculus (Mouse),335
5NTC_MOUSE,Q3V1L4,5NTC_MOUSE,reviewed,Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77),Nt5c2,Mus musculus (Mouse),560
6PGD_MOUSE,Q9DCD0,6PGD_MOUSE,reviewed,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",Pgd,Mus musculus (Mouse),483
6PGL_MOUSE,Q9CQ60,6PGL_MOUSE,reviewed,6-phosphogluconolactonase (6PGL) (EC 3.1.1.31),Pgls,Mus musculus (Mouse),257
A16A1_MOUSE,Q571I9,A16A1_MOUSE,reviewed,Aldehyde dehydrogenase family 16 member A1,Aldh16a1,Mus musculus (Mouse),802
A1AT1_MOUSE,P07758,A1AT1_MOUSE,reviewed,Alpha-1-antitrypsin 1-1 (AAT) (Alpha-1 protease inhibitor 1) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-1) (Serine protease inhibitor A1a) (Serpin A1a),Serpina1a Dom1 Spi1-1,Mus musculus (Mouse),413
A1AT2_MOUSE,P22599,A1AT2_MOUSE,reviewed,Alpha-1-antitrypsin 1-2 (AAT) (Alpha-1 protease inhibitor 2) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-2) (Serine protease inhibitor A1b) (Serpin A1b),Serpina1b Aat2 Dom2 Spi1-2,Mus musculus (Mouse),413
A1AT4_MOUSE,Q00897,A1AT4_MOUSE,reviewed,Alpha-1-antitrypsin 1-4 (Alpha-1 protease inhibitor 4) (Serine protease inhibitor 1-4) (Serine protease inhibitor A1d) (Serpin A1d),Serpina1d Dom4 Spi1-4,Mus musculus (Mouse),413
A1AT5_MOUSE,Q00898,A1AT5_MOUSE,reviewed,Alpha-1-antitrypsin 1-5 (Alpha-1 protease inhibitor 5) (Serine protease inhibitor 1-5) (Serine protease inhibitor A1e) (Serpin A1e),Serpina1e Dom5 Spi1-5,Mus musculus (Mouse),413
A1CF_MOUSE,Q5YD48,A1CF_MOUSE,reviewed,APOBEC1 complementation factor (APOBEC1-stimulating protein),A1cf Acf Asp,Mus musculus (Mouse),595
A2AP_MOUSE,Q61247,A2AP_MOUSE,reviewed,Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2),Serpinf2 Pli,Mus musculus (Mouse),491
AAAD_MOUSE,Q99PG0,AAAD_MOUSE,reviewed,Arylacetamide deacetylase (EC 3.1.1.3),Aadac Aada,Mus musculus (Mouse),398
AACS_MOUSE,Q9D2R0,AACS_MOUSE,reviewed,Acetoacetyl-CoA synthetase (EC 6.2.1.16),Aacs,Mus musculus (Mouse),672
AADAT_MOUSE,Q9WVM8,AADAT_MOUSE,reviewed,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Glycine transaminase AADAT) (EC 2.6.1.4) (Kynurenine aminotransferase II) (Kynurenine--glyoxylate transaminase AADAT) (EC 2.6.1.63) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II) (Methionine--glyoxylate transaminase AADAT) (EC 2.6.1.73)",Aadat Kat2,Mus musculus (Mouse),425
AAKB1_MOUSE,Q9R078,AAKB1_MOUSE,reviewed,5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb),Prkab1,Mus musculus (Mouse),270
AAKG1_MOUSE,O54950,AAKG1_MOUSE,reviewed,5'-AMP-activated protein kinase subunit gamma-1 (AMPK gamma1) (AMPK subunit gamma-1) (AMPKg),Prkag1 Prkaac,Mus musculus (Mouse),330
AAPK1_MOUSE,Q5EG47,AAPK1_MOUSE,reviewed,5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26),Prkaa1,Mus musculus (Mouse),559
AASS_MOUSE,Q99K67,AASS_MOUSE,reviewed,"Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]",Aass Lorsdh,Mus musculus (Mouse),926
AATC_MOUSE,P05201,AATC_MOUSE,reviewed,"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)",Got1,Mus musculus (Mouse),413
