ComplexID,ComplexName,Organism,Synonyms,Cell line,subunits(UniProt IDs),subunits(Entrez IDs),Protein complex purification method,GO ID,GO description,FunCat ID,FunCat description,PubMed ID,Complex comment,Disease comment,Subunits comment,SWISSPROT organism,subunits(Protein name),subunits(Gene name),subunits(Gene name syn)
25,9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex,Mouse,None,None,O08915;P07901;P11499;P30561,11632;15519;15516;11622,MI:0019- coimmunoprecipitation; MI:0030- cross-linking studies,GO:0006950;GO:0009593;GO:0042221;GO:0005737,response to stress;detection of chemical stimulus;response to chemical;cytoplasm,32.01;34.11.03;70.03,stress response;chemoperception and response;cytoplasm,1310021,"The authors propose that the AhR exists in cytosol as a tetrameric species, while in the nucleus the AhR exists as a heterodimer.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),AH receptor-interacting protein ;Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-beta ;Aryl hydrocarbon receptor,Aip;Hsp90aa1;Hsp90ab1;Ahr,;Hsp86 Hsp86-1 Hspca;Hsp84 Hsp84-1 Hspcb;
38,20S proteasome,Mouse,proteasome,None,O09061;O55234;O70435;P49722;P70195;P99026;Q60692;Q9QUM9;Q9R1P0;Q9R1P1;Q9R1P3;Q9R1P4;Q9Z2U0;Q9Z2U1,19170;19173;19167;19166;19177;19172;19175;26443;26441;26446;26445;26440;26444;26442,MI:0019- coimmunoprecipitation,GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;cytoplasm;nucleus,14.07.11;14.13.01.01;32.01;70.03;70.10,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;cytoplasm;nucleus,10436176,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Proteasome subunit beta type-1;Proteasome subunit beta type-5 ;Proteasome subunit alpha type-3;Proteasome subunit alpha type-2;Proteasome subunit beta type-7 ;Proteasome subunit beta type-4;Proteasome subunit beta type-6 ;Proteasome subunit alpha type-6;Proteasome subunit alpha type-4;Proteasome subunit beta type-3;Proteasome subunit beta type-2;Proteasome subunit alpha type-1;Proteasome subunit alpha type-7;Proteasome subunit alpha type-5,Psmb1;Psmb5;Psma3;Psma2;Psmb7;Psmb4;Psmb6;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;;None;Lmpc3;Mmc14;Lmp3;Lmp19;None;None;None;None;None;None;None
39,Immunoproteasome,Mouse,20S immunoproteasome; proteasome,None,O09061;O35955;O70435;P28063;P28076;P49722;P99026;Q9QUM9;Q9R1P0;Q9R1P1;Q9R1P3;Q9R1P4;Q9Z2U0;Q9Z2U1,19170;19171;19167;16913;16912;19166;19172;26443;26441;26446;26445;26440;26444;26442,MI:0019-coimmunoprecipitation,GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0019882;GO:0005737;GO:0005634,protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus,14.07.11;14.13.01.01;32.01;36.25.16.03.05;70.03;70.10,protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus,10436176,"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Proteasome subunit beta type-1;Proteasome subunit beta type-10;Proteasome subunit alpha type-3;Proteasome subunit beta type-8;Proteasome subunit beta type-9;Proteasome subunit alpha type-2;Proteasome subunit beta type-4;Proteasome subunit alpha type-6;Proteasome subunit alpha type-4;Proteasome subunit beta type-3;Proteasome subunit beta type-2;Proteasome subunit alpha type-1;Proteasome subunit alpha type-7;Proteasome subunit alpha type-5,Psmb1;Psmb10;Psma3;Psmb8;Psmb9;Psma2;Psmb4;Psma6;Psma4;Psmb3;Psmb2;Psma1;Psma7;Psma5,None;Lmp10 Mecl1;None;Lmp7 Mc13;Lmp2 Ring12;Lmpc3;Lmp3;None;None;None;None;None;None;None
40,"COP9 signalosome complex (Gps1, Cops1, Cops2, Cops3, Cops4, Cops5, Cops6, Cops7a, Cops8)",Mouse,signalosome; COP9 complex; CSN complex,brain,O35864;O88543;O88544;O88545;P61202;Q8VBV7;Q99LD4;Q9CZ04,26754;26572;26891;26893;12848;108679;209318;26894,MI:0019-coimmunoprecipitation,None,None,None,None,9707402,None,None,"Since the authors did not specify Csn7, we used isoform Csn7a.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),COP9 signalosome complex subunit 5;COP9 signalosome complex subunit 3;COP9 signalosome complex subunit 4;COP9 signalosome complex subunit 6;COP9 signalosome complex subunit 2;COP9 signalosome complex subunit 8;COP9 signalosome complex subunit 1;COP9 signalosome complex subunit 7a,Cops5;Cops3;Cops4;Cops6;Cops2;Cops8;Gps1;Cops7a,"Csn5, Jab1, Kic2;Csn3;Csn4;Csn6;Csn2, Trip15;Csn8;Cops1, Csn1;Csn7a"
46,AP2 adaptor complex,Mammalia,None,None,P17427;P62743;P63010;P84092,11772;232910;163;116563,MI:0004- affinity chromatography technologies; MI:0114- x-ray crystallography,GO:0006886;GO:0006605;GO:0015031;GO:0006461;GO:0016192;GO:0006897;GO:0030133,intracellular protein transport;protein targeting;protein transport;protein complex assembly;vesicle-mediated transport;endocytosis;transport vesicle,14.04;20.01.10;14.10;20.09.07;20.09.18.09.01;70.09,"protein targeting, sorting and translocation;protein transport;assembly of protein complexes;vesicular transport (Golgi network, etc.);endocytosis;intracellular transport vesicles",12086608,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Homo sapiens (Human);Rattus norvegicus (Rat),AP-2 complex subunit alpha-2;AP-2 complex subunit sigma ;AP-2 complex subunit beta ;AP-2 complex subunit mu,Ap2a2;Ap2s1;AP2B1;Ap2m1,Adtab;Ap17 Claps2;ADTB2 CLAPB1;
51,CCT complex (chaperonin containing TCP1 complex),Mouse,CCT micro-complex,None,P11983;P42932;P80313;P80314;P80315;P80316;P80317;P80318,21454;12469;12468;12461;12464;12465;None;12462,MI:0029-cosedimentation through density gradients,GO:0050821;GO:0006457;GO:0005524;GO:0005737,protein stabilization;protein folding;ATP binding;cytoplasm,14.01;16.19.03;70.03,protein folding and stabilization;ATP binding;cytoplasm,9250675,"The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. CCT micro-complexes have mol. wts ranging from 120 to 250 kDa and are present in cells at lower abundance (<5%) as compared with intact CCT. Sequence analysis of the TriC subunits was shown in PMID:2377466, PMID:7953530 and PMID:7890169.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),T-complex protein 1 subunit alpha;T-complex protein 1 subunit theta;T-complex protein 1 subunit eta;T-complex protein 1 subunit beta;T-complex protein 1 subunit delta;T-complex protein 1 subunit epsilon;T-complex protein 1 subunit zeta;T-complex protein 1 subunit gamma,Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct6a;Cct3,"Cct1, Ccta;Cctq;Ccth;Cctb;Cctd;Ccte, Kiaa0098;Cct6, Cctz, Cctz1;Cctg"
52,CCT complex (chaperonin containing TCP1 complex),Mouse,TRiC,None,P11983;P42932;P80313;P80314;P80315;P80316;P80317;P80318,21454;12469;12468;12461;12464;12465;None;12462,MI:0029-cosedimentation through density gradients;MI:0091-chromatography technologies,GO:0050821;GO:0006457;GO:0005524;GO:0005737,protein stabilization;protein folding;ATP binding;cytoplasm,14.01;16.19.03;70.03,protein folding and stabilization;ATP binding;cytoplasm,9013858,"The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol. The gene product of Cct6b has only been detected in testis, whereas the other Cctz gene, Cctz-1, is expressed in all tissues investigated. Sequence analysis of the TriC subunits was shown in PMID:9013858, PMID:2377466, PMID:7953530 and PMID:7890169.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),T-complex protein 1 subunit alpha;T-complex protein 1 subunit theta;T-complex protein 1 subunit eta;T-complex protein 1 subunit beta;T-complex protein 1 subunit delta;T-complex protein 1 subunit epsilon;T-complex protein 1 subunit zeta;T-complex protein 1 subunit gamma,Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct6a;Cct3,"Cct1, Ccta;Cctq;Ccth;Cctb;Cctd;Ccte, Kiaa0098;Cct6, Cctz, Cctz1;Cctg"
132,CCT complex (chaperonin containing TCP1 complex),Mouse,TRiC,None,P11983;P42932;P80313;P80314;P80315;P80316;P80317;P80318,21454;12469;12468;12461;12464;12465;None;12462,MI:0019-coimmunoprecipitation;MI:0040-electron microscopy,GO:0050821;GO:0006457;GO:0005524;GO:0005737,protein stabilization;protein folding;ATP binding;cytoplasm,14.01;16.19.03;70.03,protein folding and stabilization;ATP binding;cytoplasm,10604479,"The chaperonins are a family of molecular chaperones involved in protein folding, assembly and transport. The chaperonin-containing TCP-1 (CCT) is abundant in eukaryotic cytosol.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),T-complex protein 1 subunit alpha;T-complex protein 1 subunit theta;T-complex protein 1 subunit eta;T-complex protein 1 subunit beta;T-complex protein 1 subunit delta;T-complex protein 1 subunit epsilon;T-complex protein 1 subunit zeta;T-complex protein 1 subunit gamma,Tcp1;Cct8;Cct7;Cct2;Cct4;Cct5;Cct6a;Cct3,"Cct1, Ccta;Cctq;Ccth;Cctb;Cctd;Ccte, Kiaa0098;Cct6, Cctz, Cctz1;Cctg"
161,SWAP complex,Mouse,None,B-cell,P09405;P11103;Q61937;Q6A028,17975;11545;18148;20947,MI:0004-affinity chromatography technologies,GO:0006312;GO:0019724;GO:0005634,mitotic recombination;B cell mediated immunity;nucleus,10.01.05.03.03;36.25.16.03.01;70.10,somatic / mitotic recombination;humoral response (B-cells);nucleus,9642267,"SWAP complex has recombination activity and is specific for switching B-cells and prefers S-region substrates.S regions, several kilobase pairs in length, contain short, G-rich repetitive sequence elements, often arranged in tandem arrays (PMID:9642267).",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Nucleolin;Poly [ADP-ribose] polymerase 1;Nucleophosmin;Switch-associated protein 70,Ncl;Parp1;Npm1;Swap70,Nuc;Adprp Adprt Adprt1;None;Kiaa0640
187,Wave-2 complex (Rac-activated),Mouse,None,None,P28660;Q7TMB8;Q8BH43;Q8BPG5;Q8CBW3,50884;20430;242687;19353;11308,MI:0019- coimmunoprecipitation; MI:0096- pull down,GO:0007264;GO:0006928;GO:0030036;GO:0015629,small GTPase mediated signal transduction;movement of cell or subcellular component;actin cytoskeleton organization;actin cytoskeleton,30.01.05.05.01;34.05;42.04.03;70.04.03,small GTPase mediated signal transduction;cell motility;actin cytoskeleton;actin cytoskeleton,14765121,"The complex is constitutively assembled in the presence and absence of active Rac in vivo. The authors show that Sra-1 and Nap1 colocalize with Abi-1 and WAVE2 at the interface between the lamellipodial actin meshwork and the membrane. These proteins form stable complexes in vivo that can be immunoprecipitated from resting cells, upon Rac activation by AlF treatment and upon overexpression of constitutively active Rac.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Nck-associated protein 1 ;Cytoplasmic FMR1-interacting protein 1 ;Wiskott-Aldrich syndrome protein family member 2 ;Putative uncharacterized protein;Abl interactor 1,Nckap1;Cyfip1;Wasf2;Rac1;Abi1,Hem2 Kiaa0587 Nap1;Kiaa0068 Shyc Sra1;Wave2;;Ssh3bp1
