,,,,,,,,,,,,E(t)=1-exp(-k0(t-t0)),,,,,
Uniprot Accession #,# Total Peptides,# of peptides used to calculate protein data,0 days,0.38 days,1 days,2 days,4 days,8 days,16 days,24 days,32 days,t0,k0,R2,,Uniprot Gene Name,Protein names
A0JNU3,2,1,0,0.134141,0.403343,0.952392,1,1,0.995799,1,1,0.0875368,0.805279,0.990696,,LPP60_MOUSE,60 kDa lysophospholipase (EC 3.1.1.5) (Lysophospholipase-transacylase) [Includes: L-asparaginase (EC 3.5.1.1) (L-asparagine amidohydrolase); 1-alkyl-2-acetylglycerophosphocholine esterase (EC 3.1.1.47) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)]
A2AJL3,4,2,0,0,0,0,0,0.798708,0.855158,0.989524,0.979569,1.30363,0.126051,0.946001,,FGGY_MOUSE,FGGY carbohydrate kinase domain-containing protein (D-ribulokinase FGGY) (EC 2.7.1.47)
A2AS89,6,4,0,0.0102909,0.027043,0.0952733,0.286804,0.602209,0.887514,0.974372,0.986814,0.754532,0.123579,0.996666,,SPEB_MOUSE,"Agmatinase, mitochondrial (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)"
A2ATU0,40,30,0,0.0182979,0.044399,0.1183,0.373541,0.663951,0.913537,0.983802,0.989395,0.614153,0.141873,0.997639,,DHTK1_MOUSE,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial (EC 1.2.4.2) (Dehydrogenase E1 and transketolase domain-containing protein 1)"
B1AXP6,1,1,0,0,0,0,0,0.850309,0.981368,0.971012,0.928135,0.929752,0.12924,0.926678,,TOM5_MOUSE,Mitochondrial import receptor subunit TOM5 homolog
B2RX12,3,1,0,0,0.192597,0.310165,0.642437,0.920853,0.985332,0.997585,0.999559,0.209707,0.258534,0.997212,,MRP3_MOUSE,ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 2) (Multidrug resistance-associated protein 3)
O08547,9,4,0,0.000637367,0.106946,0.114004,0.445233,0.887746,0.989908,0.999555,1,0.642518,0.20226,0.990322,,SC22B_MOUSE,Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1) (mSec22b)
O08573,8,4,0,0,0.494049,0.694824,0.946034,0.961171,0.977792,0.98626,0.971952,0.348487,0.846306,0.997893,,LEG9_MOUSE,Galectin-9 (Gal-9)
O08600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,NUCG_MOUSE,"Endonuclease G, mitochondrial (Endo G) (EC 3.1.30.-)"
O08601,37,31,0,0.00613126,0.139229,0.39151,0.67535,0.90904,0.981048,0.978128,0.971732,0.413871,0.308638,0.999455,,MTP_MOUSE,Microsomal triglyceride transfer protein large subunit
O08638,1,1,0,0,0.283316,0.532259,0.819039,0.965094,0.988921,0.997054,0.997007,0.160717,0.405611,0.997375,,MYH11_MOUSE,"Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC)"
O08677,4,3,0,0,0.0994267,0.378086,0.916403,0.946225,0.951119,0.975223,0.925256,0.543561,0.427746,0.989901,,KNG1_MOUSE,Kininogen-1 [Cleaved into: Kininogen-1 heavy chain; Bradykinin; Kininogen-1 light chain]
O08709,16,13,0,0.00226985,0.0701505,0.201674,0.518672,0.838748,0.976357,0.998097,0.996451,0.580318,0.213218,0.997925,,PRDX6_MOUSE,Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Antioxidant protein 2) (Glutathione-dependent peroxiredoxin) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx)
O08749,13,9,0,0.014509,0.100881,0.118111,0.273489,0.664322,0.921175,0.934235,0.938189,0.515927,0.126863,0.993278,,DLDH_MOUSE,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)"
O08756,10,9,0,0.0407365,0.0844233,0.168673,0.303641,0.591269,0.939679,0.995577,0.98976,0.378719,0.125944,0.995208,,HCD2_MOUSE,3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)
O08795,7,3,0,0.019977,0.207203,0.319595,0.709068,0.933858,0.976178,0.983111,0.985302,0.349212,0.306322,0.99782,,GLU2B_MOUSE,Glucosidase 2 subunit beta (80K-H protein) (Glucosidase II subunit beta) (Protein kinase C substrate 60.1 kDa protein heavy chain) (PKCSH)
O08807,11,8,0,0.00302485,0.0419367,0.468225,0.720847,0.936594,0.929666,0.930447,0.961378,0.527867,0.36003,0.993334,,PRDX4_MOUSE,Peroxiredoxin-4 (EC 1.11.1.24) (Antioxidant enzyme AOE372) (Peroxiredoxin IV) (Prx-IV) (Thioredoxin peroxidase AO372) (Thioredoxin-dependent peroxide reductase A0372) (Thioredoxin-dependent peroxiredoxin 4)
O08914,3,2,0,0,0,0.237822,0.884578,1,1,1,1,0.687211,0.375863,0.98153,,FAAH1_MOUSE,Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Fatty acid ester hydrolase) (EC 3.1.1.-) (Oleamide hydrolase 1)
O09061,7,6,0,0.0329941,0.190491,0.373248,0.665739,0.929739,0.985224,0.994745,0.988057,0.300017,0.297249,0.999592,,PSB1_MOUSE,Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)
O09111,2,2,0,0,0,0.079927,0.393502,0.794407,0.921635,1,0.982398,0.857377,0.171944,0.992534,,NDUBB_MOUSE,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 15.6) (Np15.6) (p15.6)"
O09131,4,1,0,0,0.225736,0.243206,0.7045,0.83281,0.989555,1,0.976748,0.1839,0.245571,0.992838,,GSTO1_MOUSE,Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R) (p28)
O09158,5,1,0,0,0,0,0,0.734733,0.893023,0.801619,1,0.954122,0.104711,0.938683,,CP3AP_MOUSE,Cytochrome P450 3A25 (EC 1.14.14.1) (CYPIIIA25)
O09167,6,1,0,0,0,0,0,0.618691,0.906703,0.989525,1,1.39591,0.113749,0.960892,,RL21_MOUSE,60S ribosomal protein L21
O09172,6,1,0,0,0,1,0.510962,0.505555,0.859953,1,1,-0.320745,0.18777,0.856032,,GSH0_MOUSE,Glutamate--cysteine ligase regulatory subunit (GCS light chain) (Gamma-ECS regulatory subunit) (Gamma-glutamylcysteine synthetase regulatory subunit) (Glutamate--cysteine ligase modifier subunit)
O09173,17,17,0,0.00793488,0.152028,0.353699,0.7318,0.928186,0.986814,0.975507,0.982288,0.438264,0.328223,0.998634,,HGD_MOUSE,"Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)"
O09174,6,1,0,0,0,0,0,1,1,0.991842,0.911499,1.23956,0.16204,0.912672,,AMACR_MOUSE,Alpha-methylacyl-CoA racemase (EC 5.1.99.4) (2-methylacyl-CoA racemase)
O35129,12,7,0,0,0.0291855,0.0494009,0.257462,0.58979,0.916326,0.978278,0.997569,0.917545,0.12406,0.993016,,PHB2_MOUSE,Prohibitin-2 (B-cell receptor-associated protein BAP37) (Repressor of estrogen receptor activity)
O35215,12,9,0,0.00611756,0.0757595,0.153345,0.394004,0.788662,0.976901,0.98414,0.956734,0.606908,0.1743,0.995396,,DOPD_MOUSE,D-dopachrome decarboxylase (EC 4.1.1.84) (D-dopachrome tautomerase)
O35381,6,2,0,0,0,0.162971,0.308783,0.913851,0.968854,1,1,0.824298,0.190218,0.983497,,AN32A_MOUSE,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (Leucine-rich acidic nuclear protein) (LANP) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A)
O35386,6,2,0,0.098501,0.8351,0.958469,0.817154,0.999009,0.969267,0.99436,0.992731,0.341088,2.6841,0.994701,,PAHX_MOUSE,"Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Lupus nephritis-associated peptide 1) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)"
